Stand,Plot ID,Quadrant,Genus Species,DBH 12.5cm or greater measured at 1.37m from base,Crown Vigor Classification 1 vigorous  5 dead,Crown Class (E D C I or O),Emerge holes between 1.25 and 1.75m,Woodpecker damage between 1.25 and 1.75m,Notes
A,KENUPHD2,NE,FRAM,18.00,3,,5,30,
A,KENUPHD2,NE,FRAM,18.20,4,,20,36,Growing into walnut
A,KENUPHD2,NE,FRAM,19.20,2,,0,0,sprouts on bole
A,KENUPHD2,NE,FRAM,19.60,3,,6,4,
A,KENUPHD2,NE,FRAM,27.00,5,,16,42,Grapevine in crown
A,KENUPHD2,NE,FRAM,29.10,1,,0,0,DBH above canker -  hole zone 0.75m to 1.25m
A,KENUPHD2,NE,FRAM,32.40,1,,0,0,
A,KENUPHD2,NE,FRAM,36.50,4,,5,14,almost dead -  just a few leaves
A,KENUPHD2,NE,FRAM,12.00,5,,0,3,
A,KENUPHD2,NW,FRAM,13.60,5,,10,13,
A,KENUPHD2,NW,FRAM,15.26,5,,4,0,
A,KENUPHD2,NW,FRAM,16.60,5,,0,3,sprouts covered w v. creeper
A,KENUPHD2,NW,FRAM,21.48,2,,0,0,
A,KENUPHD2,NW,FRAM,22.70,3,,1,6,Lots of seed in small crown
A,KENUPHD2,NW,FRAM,31.52,3,,4,6,
A,KENUPHD2,NW,FRAM,33.07,1,,0,0,
A,KENUPHD2,NW,FRAM,39.24,1,,0,0,bark splittingwpd is below range
A,KENUPHD2,NW,FRPE,12.52,2,,0,5,dead sprouts low
A,KENUPHD2,NW,FRPE,12.56,5,,4,1,
A,KENUPHD2,NW,FRPE,12.84,4,,6,8,sprouting
A,KENUPHD2,NW,FRPE,23.54,2,,0,0,small sprouts low
A,KENUPHD2,NW,Juglans nigra,39.99,,,,,
A,KENUPHD2,NW,Juglans nigra,44.32,,,,,
A,KENUPHD2,NW,Prunus virginiana,5.97,,,,,
A,KENUPHD2,NW,Quercus bushii,12.61,,,,,
A,KENUPHD2,NW,Tilia americana,16.70,,,,,
A,KENUPHD2,NW,Ulmus rubra,16.53,,,,,
A,KENUPHD2,NW,Ulmus rubra,21.70,,,,,
A,KENUPHD2,SE,FRAM,17.80,4,,0,12,galleries under woodpecker holes -  holes outside zone
A,KENUPHD2,SE,FRAM,24.30,1,,0,0,large stem w sprouts -  smaller stem is dead
A,KENUPHD2,SE,FRAM,30.20,3,,3,4,
A,KENUPHD2,SE,FRAM,6.00,5,,1,1,
A,KENUPHD2,SE,FRAM,8.90,1,,0,0,Top broken out by snag no sign of EAB
A,KENUPHD2,SE,Juglans nigra,44.50,,,,,
A,KENUPHD2,SE,Juglans nigra,54.00,,,,,
A,KENUPHD2,SE,Prunus serotina,27.40,,,,,
A,KENUPHD2,SE,Ulmus rubra,17.00,,,,,
A,KENUPHD2,SW,FRAM,14.90,5,,3,0,
A,KENUPHD2,SW,FRAM,16.20,5,,8,0,
A,KENUPHD2,SW,FRAM,17.00,5,,3,0,
A,KENUPHD2,SW,FRAM,17.70,4,,8,15,
A,KENUPHD2,SW,FRAM,23.50,5,,6,11,
A,KENUPHD2,SW,FRAM,30.00,3,,0,0,severe canopy thinning -  no other signs of EAB
A,KENUPHD2,SW,FRAM,40.00,2,,0,0,no sign of EAB
A,KENUPHD2,SW,FRAM,6.70,5,,8,6,
A,KENUPHD2,SW,FRAM,11.00,5,,8,14,
A,KENUPHD2,SW,Juglans nigra,69.40,,,,,
A,KENUPHD2,SW,Prunus serotina,13.90,,,,,
A,KENUPHD2,SW,Ulmus rubra,44.20,,,,,
A,KENUPHD2,SW,Ulmus rubra,9.50,,,,,
A,KENUPHD3,NE,FRAM,14.00,3,,8,2,thin crown -  chlorotic leaves
A,KENUPHD3,NE,FRAM,17.30,1,,0,0,measured lower due to canker .75 to 1.25m
A,KENUPHD3,NE,FRAM,32.00,1,,0,0,
A,KENUPHD3,NE,FRAM,3.30,1,,0,0,
A,KENUPHD3,NE,FRAM,6.80,1,,0,0,
A,KENUPHD3,NE,Juglans nigra,13.10,,,,,
A,KENUPHD3,NE,Juglans nigra,14.70,,,,,
A,KENUPHD3,NE,Ulmus rubra,8.50,,,,,
A,KENUPHD3,NW,FRAM,15.11,5,,25,2,
A,KENUPHD3,NW,FRAM,8.18,2,,0,3,1 wph lower than zone
A,KENUPHD3,NW,FRPE,18.61,2,,0,1,
A,KENUPHD3,NW,FRPE,19.41,2,,0,5,
A,KENUPHD3,NW,FRPE,19.60,1,,0,2,sprouting overhead
A,KENUPHD3,NW,FRPE,24.20,1,,0,0,
A,KENUPHD3,NW,FRPE,11.00,5,,0,0,
A,KENUPHD3,NW,FRPE,11.28,5,,9,2,two stems
A,KENUPHD3,NW,Juglans nigra,16.11,,,,,
A,KENUPHD3,NW,Juglans nigra,25.81,,,,,cracked bark
A,KENUPHD3,NW,Juglans nigra,28.62,,,,,
A,KENUPHD3,NW,Juglans nigra,29.71,,,,,
A,KENUPHD3,NW,Juglans nigra,36.52,,,,,
A,KENUPHD3,NW,Ulmus rubra,27.95,,,,,
A,KENUPHD3,SE,FRAM,13.70,3,,0,1,sprouts on lower bole
A,KENUPHD3,SE,FRAM,19.10,4,,19,86,almost dead
A,KENUPHD3,SE,FRAM,23.90,3,,1,14,?? -  chlorotic foliage
A,KENUPHD3,SE,FRAM,26.30,1,,0,0,very healthy
A,KENUPHD3,SE,Juglans nigra,18.10,,,,,
A,KENUPHD3,SW,FRAM,12.80,1,,0,0,trunk sprouts & splits -  woodpecker damage outside zone
A,KENUPHD3,SW,FRAM,15.20,1,,0,0,no sign of EAB
A,KENUPHD3,SW,FRAM,25.40,1,,0,0,no sign of EAB
A,KENUPHD3,SW,FRAM,44.30,2,,0,0,slight thinning -  no sign of EAB
A,KENUPHD3,SW,FRAM,4.20,5,,0,15,EAB exit holes outside of zone
A,KENUPHD3,SW,FRAM,5.20,5,,0,0,EAB exit holes outside of zone
A,KENUPHD3,SW,FRAM,8.80,4,,4,11,visible galleries
A,KENUPHD3,SW,FRAM,8.90,5,,5,21,
A,KENUPHD3,SW,FRAM,11.00,3,,0,2,No other signs of EAB
A,KENUPHD3,SW,Juglans nigra,28.30,,,,,
A,KENUPHD3,SW,Prunus serotina,20.50,,,,,
AA,HMHD,NE,FRPE,38.7,3,C,0,27,
AA,HMHD,NE,FRPE,44.3,5,D,12,26,live sprouts at base -  dead sprouts overhead
AA,HMHD,NE,Juglans nigra,28,,,,,
AA,HMHD,NE,Ostraya virginiana,13.3,,,,,Osvi - 2 stems
AA,HMHD,NE,Ostraya virginiana,7.5,,,,,Osvi - 2 stems
AA,HMHD,NE,Populus grandidentata,35.1,,,,,
AA,HMHD,NE,Prunus serotina,12.9,,,,,
AA,HMHD,NE,Sassafras albidium,23.3,,,,,Saal - 2 stems
AA,HMHD,NE,Sassafras albidium,23.8,,,,,Saal - 2 stems
AA,HMHD,NW,Carya ovata,13,,,,,Caov - 2 stems
AA,HMHD,NW,Carya ovata,9.7,,,,,Caov - 2 stems
AA,HMHD,NW,FRPE,17,2,C,0,2,FRPE - 3 stems -  many overhead sprouts
AA,HMHD,NW,FRPE,19.1,4,I,0,0,FRPE - 3 stems -  sprouts along trunk
AA,HMHD,NW,FRPE,21.5,4,I,0,4,FRPE - 3 stems
AA,HMHD,NW,FRPE,30.6,5,C,0,5,bark cracking
AA,HMHD,NW,Populus grandidentata,41.4,,,,,
AA,HMHD,NW,Prunus serotina,4.7,,,,,
AA,HMHD,NW,Prunus serotina,5.2,,,,,
AA,HMHD,NW,Prunus serotina,5.2,,,,,
AA,HMHD,NW,Prunus serotina,6.2,,,,,
AA,HMHD,NW,Prunus serotina,8.2,,,,,
AA,HMHD,NW,Quercus rubra,35.2,,,,,Quru - 3 stems
AA,HMHD,NW,Quercus rubra,39.8,,,,,Quru - 3 stems
AA,HMHD,NW,Quercus rubra,44,,,,,Quru - 3 stems
AA,HMHD,NW,Quercus rubra,49.8,,,,,Quru - 3 stems
AA,HMHD,NW,Quercus rubra,51.1,,,,,Quru - 3 stems
AA,HMHD,NW,Quercus rubra,89.7,,,,,Quru - 3 stems
AA,HMHD,SE,FRAM,27,4,C,0,12,Fram - 3 stems
AA,HMHD,SE,FRAM,32,1,C,0,0,Fram - 3 stems -  WPD above zone
AA,HMHD,SE,FRAM,38,1,C,0,0,Fram - 3 stems
AA,HMHD,SE,Ostraya virginiana,27,,,,,
AA,HMHD,SE,Populus grandidentata,20,,,,,
AA,HMHD,SE,Prunus serotina,18,,,,,
AA,HMHD,SE,Prunus serotina,2.7,,,,,
AA,HMHD,SE,Prunus serotina,3.8,,,,,
AA,HMHD,SE,Quercus bicolor,14.8,,,,,
AA,HMHD,SE,Quercus rubra,15,,,,,
AA,HMHD,SE,Quercus rubra,52.4,,,,,
AA,HMHD,SE,Sassafras albidium,17.5,,,,,
AA,HMHD,SW,Acer saccharum,22,,,,,
AA,HMHD,SW,Carya ovata,5.3,,,,,
AA,HMHD,SW,Carya sp.,26.5,,,,,
AA,HMHD,SW,FRPE,25.7,4,C,0,1,trunk sprouts at base
AA,HMHD,SW,FRPE,31,1,E,0,0,Frpe - 2 stems
AA,HMHD,SW,FRPE,39.7,1,E,0,0,Frpe - 2 stems
AA,HMHD,SW,Ostraya virginiana,25,,,,,
AA,HMHD,SW,Ostraya virginiana,2.7,,,,,
AA,HMHD,SW,Ostraya virginiana,5.5,,,,,
AA,HMHD,SW,Ostraya virginiana,9.8,,,,,
AA,HMHD,SW,Quercus bicolor,5.9,,,,,
AA,HMHD,SW,Sassafras albidium,22,,,,,
AA,HMHD,SW,Ulmus rubra,3.3,,,,,
AA,HMHD2,NE,Amelanchier sp.,6.7,,,,,Amelanchier - 3 stems
AA,HMHD2,NE,Amelanchier sp.,7.1,,,,,Amelanchier - 3 stems
AA,HMHD2,NE,Amelanchier sp.,11.7,,,,,Amelanchier - 3 stems
AA,HMHD2,NE,Carpinus caroliniana,3.1,,,,,
AA,HMHD2,NE,Carpinus caroliniana,4.4,,,,,
AA,HMHD2,NE,Carpinus caroliniana,5,,,,,
AA,HMHD2,NE,FRAM,40.1,3,D,0,0,center tree
AA,HMHD2,NE,FRPE,13.5,5,I,3,0,live sprouts at base -  bark splitting
AA,HMHD2,NE,FRPE,16.7,5,C,0,0,
AA,HMHD2,NE,FRPE,21.2,5,C,0,0,live sprouts at base
AA,HMHD2,NE,FRPE,25.9,2,C,0,0,
AA,HMHD2,NE,FRPE,27.9,2,C,0,0,live sprouts at base
AA,HMHD2,NE,Prunus serotina,13.9,,,,,
AA,HMHD2,NE,Prunus serotina,14.5,,,,,
AA,HMHD2,NE,Prunus serotina,15.6,,,,,
AA,HMHD2,NE,Quercus rubra,12.7,,,,,
AA,HMHD2,NE,Quercus rubra,14.9,,,,,Quru - 2 stems
AA,HMHD2,NE,Quercus rubra,17.4,,,,,Quru - 3 stems
AA,HMHD2,NE,Quercus rubra,19.2,,,,,Quru - 2 stems
AA,HMHD2,NE,Quercus rubra,24.3,,,,,
AA,HMHD2,NE,Quercus rubra,30.6,,,,,Quru - 2 stems
AA,HMHD2,NE,Quercus rubra,31.7,,,,,Quru - 3 stems
AA,HMHD2,NE,Quercus rubra,32.1,,,,,Quru - 3 stems
AA,HMHD2,NE,Quercus rubra,33.7,,,,,Quru - 2 stems
AA,HMHD2,NE,Ulmus rubra,13,,,,,
AA,HMHD2,NW,FRPE,15.5,1,O,0,2,no sprouts
AA,HMHD2,NW,FRPE,29.5,2,D,0,6,
AA,HMHD2,NW,Ostraya virginiana,3.4,,,,,
AA,HMHD2,NW,Quercus alba,21.5,,,,,Qual - 2 stems
AA,HMHD2,NW,Quercus alba,36.3,,,,,
AA,HMHD2,NW,Quercus alba,38,,,,,Qual - 2 stems
AA,HMHD2,NW,Quercus alba,53,,,,,
AA,HMHD2,NW,Quercus alba,65.2,,,,,
AA,HMHD2,NW,Tilia americana,29,,,,,Tiam - 3 stems
AA,HMHD2,NW,Tilia americana,33.5,,,,,Tiam - 3 stems
AA,HMHD2,NW,Tilia americana,37,,,,,Tiam - 3 stems
AA,HMHD2,NW,Ulmus rubra,29,,,,,
AA,HMHD2,SE,Carpinus caroliniana,2.5,,,,,
AA,HMHD2,SE,Carpinus caroliniana,3.5,,,,,
AA,HMHD2,SE,Carpinus caroliniana,3.8,,,,,
AA,HMHD2,SE,Carpinus caroliniana,5.4,,,,,
AA,HMHD2,SE,Carpinus caroliniana,5.7,,,,,
AA,HMHD2,SE,Carya cordiformis,15.4,,,,,Caco - 2 stems
AA,HMHD2,SE,Carya cordiformis,5.7,,,,,Caco - 2 stems
AA,HMHD2,SE,Carya glabra,12.9,,,,,
AA,HMHD2,SE,Ostraya virginiana,5.5,,,,,
AA,HMHD2,SE,Quercus alba,15,,,,,
AA,HMHD2,SE,Quercus alba,18.1,,,,,
AA,HMHD2,SE,Quercus alba,54.9,,,,,
AA,HMHD2,SE,Tilia americana,15.3,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,18.7,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,27.1,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,29.2,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,29.5,,,,,Tiam - 3 stems
AA,HMHD2,SE,Tilia americana,31.1,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,31.8,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,31.8,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,33.3,,,,,Tiam - 8 stems
AA,HMHD2,SE,Tilia americana,34.5,,,,,Tiam - 3 stems
AA,HMHD2,SE,Tilia americana,36.1,,,,,Tiam - 3 stems
AA,HMHD2,SW,FRPE,29.3,2,D,0,0,
AA,HMHD2,SW,Ostraya virginiana,2.5,,,,,
AA,HMHD2,SW,Ostraya virginiana,2.7,,,,,
AA,HMHD2,SW,Ostraya virginiana,3.7,,,,,
AA,HMHD2,SW,Ostraya virginiana,4,,,,,
AA,HMHD2,SW,Ostraya virginiana,4.8,,,,,
AA,HMHD2,SW,Ostraya virginiana,6.1,,,,,
AA,HMHD2,SW,Quercus bicolor,27.5,,,,,
AA,HMHD2,SW,Quercus bicolor,43,,,,,
AA,HMHD2,SW,Quercus rubra,14.2,,,,,
AA,HMHD2,SW,Quercus rubra,27,,,,,
AA,HMHD2,SW,Quercus rubra,12.3,,,,,
AA,HMHD3,NE,Carpinus caroliniana,8.3,,,,,
AA,HMHD3,NE,FRPE,23.1,2,I,0,5,
AA,HMHD3,NE,Prunus serotina,16,,,,,
AA,HMHD3,NE,Quercus alba,16.3,,,,,
AA,HMHD3,NE,Quercus alba,21.5,,,,,
AA,HMHD3,NE,Quercus alba,32,,,,,Qual - 3 stems
AA,HMHD3,NE,Quercus alba,38.7,,,,,
AA,HMHD3,NE,Quercus alba,42,,,,,Qual - 3 stems
AA,HMHD3,NE,Quercus alba,62,,,,,Qual - 3 stems
AA,HMHD3,NE,Quercus rubra,60,,,,,
AA,HMHD3,NE,Sassafras albidium,28.5,,,,,
AA,HMHD3,NE,Sassafras albidium,29.9,,,,,
AA,HMHD3,NE,Sassafras albidium,8.2,,,,,
AA,HMHD3,NE,Sassafras albidium,8.3,,,,,
AA,HMHD3,NE,Tilia americana,23.7,,,,,
AA,HMHD3,NW,Carpinus caroliniana,17.1,,,,,
AA,HMHD3,NW,FRPE,27.4,2,C,0,0,large vine on trunk
AA,HMHD3,NW,FRPE,7,5,O,1,0,FRPE - 2 stems -  bark split -  dead branch
AA,HMHD3,NW,FRPE,9.8,3,O,0,0,FRPE - 2 stems
AA,HMHD3,NW,Quercus alba,21.8,,,,,
AA,HMHD3,NW,Quercus alba,24.8,,,,,Qual - 3 stems
AA,HMHD3,NW,Quercus alba,30.8,,,,,Qual - 3 stems
AA,HMHD3,NW,Quercus alba,30.9,,,,,Qual - 3 stems
AA,HMHD3,NW,Quercus alba,32.2,,,,,
AA,HMHD3,NW,Ulmus rubra,12.5,,,,,
AA,HMHD3,NW,Ulmus rubra,16.8,,,,,
AA,HMHD3,NW,Ulmus rubra,16.8,,,,,
AA,HMHD3,NW,Ulmus rubra,3.1,,,,,
AA,HMHD3,NW,Ulmus rubra,9.4,,,,,
AA,HMHD3,NW,Ulmus rubra,11.3,,,,,center tree
AA,HMHD3,SE,FRPE,14.2,5,O,5,2,FRPE - 4 stems
AA,HMHD3,SE,FRPE,17,5,O,1,0,visible galleries
AA,HMHD3,SE,FRPE,17.1,5,C,1,8,long dead?
AA,HMHD3,SE,FRPE,19.9,5,C,0,2,FRPE - 4 stems
AA,HMHD3,SE,FRPE,22.8,5,C,0,0,FRPE - 4 stems
AA,HMHD3,SE,FRPE,25.2,2,C,0,0,
AA,HMHD3,SE,FRPE,26.9,5,C,0,1,FRPE - 4 stems -  live sprouts at breast height
AA,HMHD3,SE,FRPE,27.2,5,C,3,14,FRPE - 4 stems -  several live sprouts overhead
AA,HMHD3,SE,FRPE,34.1,2,C,0,2,FRPE - 4 stems -  bark splitting
AA,HMHD3,SE,FRPE,41.1,3,C,0,4,FRPE - 4 stems
AA,HMHD3,SE,FRPE,41.5,2,D,0,0,FRPE - 4 stems
AA,HMHD3,SE,Quercus bicolor,17.8,,,,,
AA,HMHD3,SE,Quercus bicolor,18.8,,,,,Qubi - 2 stems
AA,HMHD3,SE,Quercus bicolor,29.9,,,,,Qubi - 2 stems
AA,HMHD3,SE,Ulmus rubra,16.5,,,,,
AA,HMHD3,SE,Ulmus rubra,18.2,,,,,
AA,HMHD3,SW,Carya cordiformis,38.8,,,,,
AA,HMHD3,SW,FRPE,16.8,3,O,0,0,
AA,HMHD3,SW,FRPE,23.9,1,D,0,2,bark cracking
AA,HMHD3,SW,FRPE,24.2,2,I,0,0,sprouts at base and along trunk
AA,HMHD3,SW,FRPE,24.3,4,C,4,0,FRPE - 2 stems -  many sprouts at base & overhead
AA,HMHD3,SW,FRPE,30.5,2,C,0,6,sprouts at base and along trunk
AA,HMHD3,SW,FRPE,31.8,2,D,0,0,
AA,HMHD3,SW,FRPE,36,1,D,0,0,
AA,HMHD3,SW,FRPE,44.5,1,D,0,0,
AA,HMHD3,SW,FRPE,50.1,2,D,0,0,FRPE - 2 stems - live sprouts along trunk
AA,HMHD3,SW,Populus deltoides,39.2,,,8,39,
AA,HMHD3,SW,Quercus bicolor,18.1,,,,,
AA,HMHD3,SW,Quercus bicolor,19.1,,,,,
AA,HMHD3,SW,Quercus bicolor,23.1,,,,,
AA,HMHD3,SW,Quercus bicolor,23.2,,,,,
AA,HMHD3,SW,Quercus bicolor,23.8,,,,,
AA,HMHD3,SW,Quercus bicolor,24.8,,,,,
AA,HMHD3,SW,Quercus bicolor,32.5,,,,,
AA,HMHD3,SW,Quercus bicolor,8.2,,,,,
B,KENDRY,NE,Carya ovata,13.20,,,,,
B,KENDRY,NE,Carya ovata,13.80,,,,,
B,KENDRY,NE,Carya ovata,16.50,,,,,
B,KENDRY,NE,Carya ovata,18.60,,,,,
B,KENDRY,NE,Carya ovata,19.70,,,,,
B,KENDRY,NE,Carya ovata,21.00,,,,,
B,KENDRY,NE,Quercus rubra,40.10,,,,,
B,KENDRY,NE,Quercus rubra,58.20,,,,,
B,KENDRY,NE,Quercus rubra,59.40,,,,,
B,KENDRY,NE,Ulmus rubra,5.80,,,,,
B,KENDRY,NW,Carya cordiformis,14.70,,,,,
B,KENDRY,NW,Carya ovata,20.00,,,,,
B,KENDRY,NW,Carya ovata,11.20,,,,,
B,KENDRY,NW,Carya tomentosa,16.70,,,,,
B,KENDRY,NW,FRAM,22.30,5,,0,1,2 stems - Fram  -  smaller is dead
B,KENDRY,NW,FRAM,42.10,3,,0,0,2 stems - Fram
B,KENDRY,NW,Prunus serotina,2.50,,,,,
B,KENDRY,NW,Prunus virginiana,3.20,,,,,
B,KENDRY,NW,Quercus alba,29.00,,,,,
B,KENDRY,NW,Quercus alba,43.90,,,,,
B,KENDRY,NW,Quercus alba,49.60,,,,,
B,KENDRY,NW,Quercus alba,63.60,,,,,
B,KENDRY,NW,Quercus rubra,47.80,,,,,
B,KENDRY,NW,Quercus rubra,48.60,,,,,
B,KENDRY,NW,Quercus rubra,51.30,,,,,
B,KENDRY,NW,Quercus rubra,52.90,,,,,
B,KENDRY,NW,Tilia americana,14.00,,,,,
B,KENDRY,NW,Tilia americana,24.50,,,,,
B,KENDRY,NW,Tilia americana,25.20,,,,,
B,KENDRY,NW,Ulmus rubra,2.80,,,,,
B,KENDRY,NW,Ulmus rubra,3.20,,,,,
B,KENDRY,NW,Ulmus rubra,3.20,,,,,
B,KENDRY,NW,Ulmus rubra,4.30,,,,,
B,KENDRY,NW,Ulmus rubra,4.50,,,,,
B,KENDRY,NW,Ulmus rubra,4.70,,,,,
B,KENDRY,NW,Ulmus rubra,6.00,,,,,
B,KENDRY,SE,Carya ovata,14.45,,,,,
B,KENDRY,SE,Carya ovata,20.92,,,,,
B,KENDRY,SE,Carya ovata,10.69,,,,,
B,KENDRY,SE,FRAM,20.90,5,,2,23,
B,KENDRY,SE,Ostraya virginiana,16.07,,,2,23,
B,KENDRY,SE,Ostraya virginiana,3.92,,,,,
B,KENDRY,SE,Prunus serotina,5.97,,,,,
B,KENDRY,SE,Quercus alba,38.21,,,,,
B,KENDRY2,NE,Carya cordiformis,23.60,,,,,
B,KENDRY2,NE,Carya cordiformis,23.90,,,,,2 stems - Caco
B,KENDRY2,NE,Carya cordiformis,29.30,,,,,
B,KENDRY2,NE,Carya cordiformis,11.50,,,,,2 stems - Caco
B,KENDRY2,NE,Carya ovata,14.10,,,,,
B,KENDRY2,NE,Carya ovata,19.70,,,,,
B,KENDRY2,NE,FRAM,19.00,5,,5,2,
B,KENDRY2,NE,FRAM,21.50,5,,0,0,2 stems - Fram
B,KENDRY2,NE,FRAM,22.80,3,,0,49,Emerge holes present above zone -  galleries present
B,KENDRY2,NE,FRAM,29.00,2,,0,2,
B,KENDRY2,NE,FRAM,34.80,5,,12,25,2 stems - Fram
B,KENDRY2,NE,Juglans nigra,16.80,,,17,78,
B,KENDRY2,NE,Viburnum spp.,4.00,,,,,
B,KENDRY2,NE,Viburnum spp.,4.30,,,,,
B,KENDRY2,NE,Viburnum spp.,4.70,,,,,
B,KENDRY2,NW,Carpinus caroliniana,4.04,,,,,
B,KENDRY2,NW,Carya ovata,18.79,,,,,
B,KENDRY2,NW,FRAM,13.89,5,,0,11,Emergence holes present but not within range -  base sprouting
B,KENDRY2,NW,Quercus alba,51.82,,,,,
B,KENDRY2,NW,Quercus rubra,54.32,,,,,
B,KENDRY2,NW,Quercus velutina,46.52,,,,,
B,KENDRY2,SE,Carya ovata,20.30,,,,,
B,KENDRY2,SE,FRAM,24.30,5,,0,0,dead before EAB?
B,KENDRY2,SE,FRAM,25.30,5,,1,0,lots of WPD high up
