center_tree_number,quadrant_NE_SE_SW_NW,ash_species,number_of_stems,EAB_exit_holes_y_n,woodpecker_marks_y_n,ash_bark_splitting_y_n,epicormic_sprouts_y_n,basal_sprouts_y_n,percent_stems_with_signs_or_symptoms,ash_saplings_notes
77,SE,NA,0,NA,NA,NA,NA,NA,NA,
77,SW,green,2,n,n,n,n,n,0,
77,NW,green,2,n,n,n,n,n,0,
76,NE,NA,0,NA,NA,NA,NA,NA,NA,
76,SE,NA,0,NA,NA,NA,NA,NA,NA,
76,SW,NA,0,NA,NA,NA,NA,NA,NA,
76,NW,NA,0,NA,NA,NA,NA,NA,NA,
73,NE,NA,0,NA,NA,NA,NA,NA,NA,
73,SE,NA,0,NA,NA,NA,NA,NA,NA,
73,SW,NA,0,NA,NA,NA,NA,NA,NA,
73,NW,green or white,1,n,n,n,n,n,0,
74,NE,NA,0,NA,NA,NA,NA,NA,NA,
74,SE,NA,0,NA,NA,NA,NA,NA,NA,
74,SW,NA,0,NA,NA,NA,NA,NA,NA,
74,NW,NA,0,NA,NA,NA,NA,NA,NA,
75,NE,NA,0,NA,NA,NA,NA,NA,NA,
75,SE,NA,0,NA,NA,NA,NA,NA,NA,
75,SW,NA,0,NA,NA,NA,NA,NA,NA,
75,NW,NA,0,NA,NA,NA,NA,NA,NA,
109,NE,NA,0,NA,NA,NA,NA,NA,NA,
109,SE,NA,0,NA,NA,NA,NA,NA,NA,
109,SW,NA,0,NA,NA,NA,NA,NA,NA,
109,NW,NA,0,NA,NA,NA,NA,NA,NA,
100,NE,green or white,2,n,n,n,n,n,0,
100,SE,green or white,1,n,n,y,n,n,100,
100,SW,NA,0,NA,NA,NA,NA,NA,NA,
100,NW,NA,0,NA,NA,NA,NA,NA,NA,
112,NE,green or white,15,n,n,y,n,n,7,
112,SE,green or white,20,n,n,n,n,n,0,bittersweet vines are pulling down some of the saplings
112,SW,green or white,7,n,n,n,n,n,0,
112,NW,green or white,18,n,n,y,n,n,6,
113,NE,green or white,21,n,n,n,n,n,0,
113,SE,green or white,39,n,n,y,n,n,3,
113,SW,green or white,27,n,n,y,n,n,11,
113,NW,green or white,20,n,n,n,n,n,0,
114,NE,green or white,51,n,n,y,n,n,4,
114,SE,green or white,56,n,n,n,n,n,0,
114,SW,green or white,17,n,n,n,n,n,0,
114,NW,green or white,34,n,n,y,n,n,12,
110,NE,NA,0,NA,NA,NA,NA,NA,NA,
110,SE,NA,0,NA,NA,NA,NA,NA,NA,
110,SW,NA,0,NA,NA,NA,NA,NA,NA,
110,NW,NA,0,NA,NA,NA,NA,NA,NA,
111,NE,NA,0,NA,NA,NA,NA,NA,NA,
111,SE,NA,0,NA,NA,NA,NA,NA,NA,
111,SW,NA,0,NA,NA,NA,NA,NA,NA,
111,NW,NA,0,NA,NA,NA,NA,NA,NA,
69,NE,NA,0,NA,NA,NA,NA,NA,NA,
69,SE,NA,0,NA,NA,NA,NA,NA,NA,
69,SW,green or white,1,n,n,n,n,n,0,
69,NW,NA,0,NA,NA,NA,NA,NA,NA,
68,NE,green and pumpkin,4,n,n,n,n,n,0,see photos of possible pumpkin ash - may just be red ash (Fraxinus pennsylvanica var. pennsylvanica)
68,SE,green and pumpkin and black,13,n,n,n,n,n,0,
68,SW,green and pumpkin,9,n,n,n,n,n,0,
68,NW,green and pumpkin,5,n,n,n,n,n,0,
70,NE,NA,0,NA,NA,NA,NA,NA,NA,
70,SE,NA,0,NA,NA,NA,NA,NA,NA,
70,SW,?,3,n,n,n,n,n,0,
70,NW,?,2,n,n,n,n,n,0,
71,NE,NA,0,NA,NA,NA,NA,NA,NA,
71,SE,NA,0,NA,NA,NA,NA,NA,NA,
71,SW,NA,0,NA,NA,NA,NA,NA,NA,
71,NW,black and (green or pumpkin),3,n,n,n,n,n,0,
55,NE,NA,0,NA,NA,NA,NA,NA,NA,
55,SE,NA,0,NA,NA,NA,NA,NA,NA,
55,SW,NA,0,NA,NA,NA,NA,NA,NA,
55,NW,NA,0,NA,NA,NA,NA,NA,NA,
67,NE,NA,0,NA,NA,NA,NA,NA,NA,
67,SE,NA,0,NA,NA,NA,NA,NA,NA,
67,SW,NA,0,NA,NA,NA,NA,NA,NA,
67,NW,NA,0,NA,NA,NA,NA,NA,NA,
