year_of_data_collection,center_tree_number,microplot_NESW,number_new_with_cotyledons,percent_cover_0_0.5_1_3.5_8_15.5_25.5_etc,northeast_number_established_short,southeast_number_established_short,southwest_number_established_short,northwest_number_established_short,northeast_number_established_tall,southeast_number_established_tall,southwest_number_established_tall,northwest_number_established_tall,area_of_microplot_m_squared,ash_seedlings_notes
2024,39,N,0,0,0,0,0,0,0,0,0,0,4.06,We think there is only buckthorn and spicebush seedlings but no ash seedlings because they are alternate-leaved
2024,39,E,0,0,0,0,0,0,0,0,0,0,4.06,
2024,39,S,0,3.5,0,0,0,0,0,0,1,0,4.06,
2024,39,W,0,0,0,0,0,0,0,0,0,0,4.06,
2024,51,N,0,25.5,8,3,7,7,4,4,2,3,4.06,
2024,51,E,0,15.5,3,3,6,5,0,1,2,0,4.06,
2024,51,S,0,0.5,0,0,1,1,0,0,0,0,4.06,
2024,51,W,0,3.5,1,2,1,1,0,3,2,0,4.06,
2024,52,N,0,55.5,9,9,4,6,8,2,4,4,4.06,
2024,52,E,0,25.5,3,4,0,0,6,1,0,1,4.06,gooseberry-like plant with spiky fruit
2024,52,S,0,25.5,5,5,6,1,0,5,3,0,4.06,uprooted basswood
2024,52,W,0,45.5,0,3,4,4,2,4,2,2,4.06,wingstem in microplot?
2024,54,N,0,35.5,3,4,6,7,3,0,4,3,4.06,lots of prickly ash (Zanthoxylum)
2024,54,E,0,35.5,13,14,7,6,0,0,0,0,4.06,
2024,54,S,0,3.5,3,2,2,1,1,0,0,1,4.06,
2024,54,W,0,35.5,0,3,3,2,2,3,0,1,4.06,not counting taller than dbh for % cover
2024,38,N,0,0,0,0,0,0,0,0,0,0,4.06,not counting taller than dbh for % cover
2024,38,E,0,0,0,0,0,0,0,0,0,0,4.06,ferns - big fern - spicebush
2024,38,S,0,0,0,0,0,0,0,0,0,0,4.06,
2024,38,W,0,0,0,0,0,0,0,0,0,0,4.06,lots of spicebush
2024,37,N,0,0,0,0,0,0,0,0,0,0,4.06,not counting taller than dbh for % cover
2024,37,E,0,0,0,0,0,0,0,0,0,0,4.06,
2024,37,S,0,0,0,0,0,0,0,0,0,0,4.06,jewelweed
2024,37,W,0,0,0,0,0,0,0,0,0,0,4.06,
2024,25,N,0,0,0,0,0,0,0,0,0,0,4.06,
2024,25,E,0,1,0,0,2,0,0,0,0,0,4.06,
2024,25,S,0,3.5,0,0,0,0,0,0,0,1,4.06,black ash
2024,25,W,0,15.5,0,0,0,0,2,1,0,0,4.06,black and white or green
2024,57,N,0,65.5,1,5,3,4,7,2,3,3,4.06,
2024,57,E,0,35.5,0,5,3,2,1,3,1,4,4.06,
2024,57,S,0,65.5,4,9,3,3,3,5,3,8,4.06,
2024,57,W,0,8,1,4,2,2,0,1,1,0,4.06,
2024,56,N,0,15.5,2,2,3,2,1,1,0,0,4.06,
2024,56,E,0,65.5,3,6,0,2,9,4,2,2,4.06,
2024,56,S,0,15.5,1,0,7,2,1,0,0,0,4.06,
2024,56,W,0,55.5,3,2,4,10,2,2,1,6,4.06,
2024,35,N,0,0.5,0,0,0,1,0,0,0,0,4.06,Lots of grasses - some ferns
2024,35,E,0,0.5,0,0,0,0,1,0,0,0,4.06,grasses - Sassafras
2024,35,S,0,0.5,0,0,0,1,0,0,0,0,4.06,spicebush
2024,35,W,0,0,0,0,0,0,0,0,0,0,4.06,spicebush
2024,34,N,0,25.5,0,0,0,0,0,1,0,1,4.06,pine needles
2024,34,E,0,0,0,0,0,0,0,0,0,0,4.06,Equisetum?
2024,34,S,0,15.5,0,0,0,0,1,1,0,1,4.06,
2024,34,W,0,1,1,0,0,0,0,0,0,0,4.06,
2024,63,N,0,3.5,0,0,0,0,2,0,0,0,4.06,
2024,63,E,0,1,0,0,0,0,1,0,0,0,4.06,
2024,63,S,0,0,0,0,0,0,0,0,0,0,4.06,
2024,63,W,0,3.5,0,0,0,0,0,2,0,0,4.06,
2024,26,N,0,,0,1,3,0,0,0,0,0,4.06,
2024,26,E,0,25.5,0,1,0,0,0,2,2,3,4.06,
2024,26,S,0,25.5,2,1,3,0,0,3,0,1,4.06,
2024,26,W,0,8,3,3,0,1,0,0,0,0,4.06,Barberry around SW
2024,27,N,0,3.5,0,0,0,2,0,1,1,1,4.06,
2024,27,E,0,1,0,0,1,0,0,0,0,0,4.06,May apple all around
2024,27,S,0,55.5,5,3,0,4,2,3,2,2,4.06,Barberry on SW
2024,27,W,0,8,1,3,1,2,2,0,1,0,4.06,
2024,33,N,0,15.5,0,0,0,0,1,1,1,2,4.06,Big tree down covering NE to SE - Barberry
2024,33,E,0,3.5,0,0,0,0,2,1,0,1,4.06,
2024,33,S,0,0.5,0,0,0,2,0,0,0,0,4.06,Lots of spicebush
2024,33,W,0,1,0,0,1,1,0,0,0,0,4.06,not counting ash taller than dbh for % cover - Honeysuckle
2024,31,N,0,1,3,0,0,0,0,0,0,0,4.06,
2024,31,E,0,0.5,0,0,1,0,0,0,0,0,4.06,Big rock - downed branch
2024,31,S,0,8,1,0,1,2,3,2,1,1,4.06,
2024,31,W,0,15.5,1,0,0,0,1,1,2,2,4.06,
2024,32,N,0,0,0,0,0,0,0,0,0,0,4.06,
2024,32,E,0,0,0,0,0,0,0,0,0,0,4.06,Basswood and cherry seedlings
2024,32,S,0,3.5,0,1,0,1,0,0,1,0,4.06,
2024,32,W,0,1,1,0,0,0,0,0,0,0,4.06,We found ash seedlings but outside of the microplot
2024,36,N,0,0,0,0,0,0,0,0,0,0,4.06,Fallen branches and horsetail
2024,36,E,0,1,0,0,0,0,0,0,1,0,4.06,
2024,36,S,0,3.5,0,0,0,0,0,0,0,1,4.06,
2024,36,W,0,1,1,0,0,0,0,0,0,0,4.06,A lot of fallen branches
2024,86,N,0,65.5,5,8,6,9,4,3,4,4,4.06,ferns - galls (see photo)
2024,86,E,0,45.5,1,4,0,3,4,0,5,7,4.06,
2024,86,S,0,15.5,2,1,2,3,5,3,2,2,4.06,invasive vines - autumn olive above
2024,86,W,0,35.5,12,3,5,6,3,1,0,0,4.06,
2024,78,N,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grass - flooded
2024,78,E,0,25.5,1,1,1,1,3,2,2,1,4.06,not counting taller than dbh for % cover
2024,78,S,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grasses - skunk cabbage - flooded
2024,78,W,0,0,0,0,0,0,0,0,0,0,4.06,skunk cabbage - coarse woody debris
2024,77,N,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grasses - extreme flooding
2024,77,E,0,0,0,0,0,0,0,0,0,0,4.06,short and tall grasses - extreme flooding
2024,77,S,0,0,0,0,0,0,0,0,0,0,4.06,spicebush - musclewood - extreme flooding
2024,77,W,0,0,0,0,0,0,0,0,0,0,4.06,ferns - extreme flooding
2024,76,N,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses (see photo) - extreme flooding for entire plot
2024,76,E,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses - skunk cabbage
2024,76,S,0,0,0,0,0,0,0,0,0,0,4.06,water too deep to walk over to - no ash seedlings observed
2024,76,W,0,3.5,0,0,0,0,0,0,0,1,4.06,
2024,73,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,73,E,0,3.5,0,0,0,0,0,0,0,1,4.06,
2024,73,S,0,8,1,2,3,3,0,1,0,1,4.06,
2024,73,W,0,8,1,3,1,3,1,0,1,1,4.06,
2024,74,N,0,0,0,0,0,0,0,0,0,0,4.06,
2024,74,E,0,15.5,0,0,0,0,0,1,2,2,4.06,
2024,74,S,0,0,0,0,0,0,0,0,0,0,4.06,
2024,74,W,0,1,0,0,1,0,0,0,0,0,4.06,
2024,75_north,N,0,15.5,0,0,0,0,1,3,1,0,4.06,
2024,75_north,E,0,8,2,2,1,1,0,1,0,0,4.06,
2024,75_north,S,0,8,0,0,2,1,1,1,0,1,4.06,
2024,75_north,W,0,8,1,1,1,1,1,0,0,0,4.06,
2024,75_south,N,0,0.5,0,1,0,0,0,0,0,0,4.06,
2024,75_south,E,0,0,0,0,0,0,0,0,0,0,4.06,
2024,75_south,S,0,0.5,0,1,0,0,0,0,0,0,4.06,
2024,75_south,W,0,3.5,1,1,2,1,0,0,0,0,4.06,
2024,109,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,109,E,0,0.5,1,1,0,0,0,0,0,0,4.06,fallen leaves
2024,109,S,0,0.5,0,0,1,0,0,0,0,0,4.06,fallen leaves
2024,109,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,100,N,0,55.5,7,5,3,0,3,5,1,1,4.06,prickly ash
2024,100,E,0,75.5,8,3,11,8,3,4,1,3,4.06,sugar maple
2024,100,S,0,8,1,6,1,1,0,2,0,1,4.06,under log - viburnum
2024,100,W,0,,3,4,7,2,3,3,3,2,4.06,euonymus (wingstem) - alternate leaved dogwood (see photo)
2024,112,N,0,8,0,0,0,0,0,2,1,0,4.06,grasses - virginia creeper - hickory seedlings - ash saplings taller than DBH
2024,112,E,0,0,0,0,0,0,0,0,0,0,4.06,grasses - legume plant (the 3-ranked one with pink flowers)
2024,112,S,0,15.5,0,0,0,1,2,1,1,1,4.06,grasses - raspberry
2024,112,W,0,15.5,0,0,0,0,0,3,0,0,4.06,bittersweet - gooseberry
2024,113,N,0,0,0,0,0,0,0,0,0,0,4.06,microplot located on equestrian trail - mowed grass
2024,113,E,0,8,0,0,0,0,0,1,0,0,4.06,raspberry - rose
2024,113,S,0,15.5,0,1,0,0,1,1,2,1,4.06,
2024,113,W,0,0,0,0,0,0,0,0,0,0,4.06,microplot located on equestrian trail - mowed grass
2024,114,N,0,8,0,0,0,0,1,0,2,1,4.06,
2024,114,E,0,45.5,0,0,1,1,2,2,2,1,4.06,
2024,114,S,0,15.5,0,0,0,0,1,0,2,1,4.06,
2024,114,W,0,3.5,0,0,0,0,1,0,0,0,4.06,
2024,110,N,0,8,0,0,0,0,0,0,0,1,4.06,fallen leaves (likely for all these microplots in 110)
2024,110,E,0,25.5,0,0,0,0,2,0,2,5,4.06,
2024,110,S,0,3.5,1,0,1,2,0,0,1,0,4.06,
2024,110,W,0,0,0,0,0,0,0,0,0,0,4.06,
2024,111,N,0,15.5,8,1,3,2,3,0,1,1,4.06,prickly ash - multiflora rose
2024,111,E,0,8,0,0,4,2,0,1,0,0,4.06,high density of ash seedlings in surrounding areas - spiral fern - fallen ash tree with living leaves
2024,111,S,0,3.5,0,0,0,1,0,1,2,0,4.06,mud - fallen leaves
2024,111,W,0,25.5,1,6,3,2,1,5,6,0,4.06,grasses - fallen leaves
2024,69,N,0,8,4,3,3,2,2,0,3,1,4.06,
2024,69,E,0,8,1,1,0,1,2,1,1,0,4.06,
2024,69,S,0,65.5,0,3,3,0,4,14,10,2,4.06,grasses - ferns - mosses
2024,69,W,0,3.5,0,0,1,0,2,0,2,0,4.06,
2024,68,N,0,3.5,2,1,0,0,1,0,0,0,4.06,fallen leaves
2024,68,E,0,65.5,0,2,2,1,2,4,8,3,4.06,
2024,68,S,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses - muddy leaves
2024,68,W,0,15.5,0,0,0,1,1,4,2,3,4.06,ferns
2024,67,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,67,E,0,0.5,1,0,0,0,0,0,0,0,4.06,fallen leaves
2024,67,S,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,67,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,70,N,0,35.5,3,4,0,2,0,12,2,0,4.06,spicebush - beech leaves - short grasses
2024,70,E,0,3.5,0,0,0,0,0,1,0,0,4.06,tall grasses - wet leaves - spicebush
2024,70,S,0,15.5,1,4,5,1,1,3,1,3,4.06,spicebush - blackberry
2024,70,W,0,15.5,3,9,5,2,1,2,0,0,4.06,lots of ferns - spicebush
2024,71,N,0,35.5,0,1,0,3,0,2,2,3,4.06,buckthorn - skunk cabbage - wet leaves
2024,71,E,0,0,0,0,0,0,0,0,0,0,4.06,wet leaves
2024,71,S,0,1,0,0,0,0,0,0,1,0,4.06,tall grasses
2024,71,W,0,8,0,0,0,0,4,0,0,3,4.06,tall grasses - irises (?)
2024,55,N,0,25.5,3,1,1,1,0,0,2,7,4.06,spring wildflowers - cherry - maples
2024,55,E,0,1,1,0,1,0,0,0,0,0,4.06,hepatica
2024,55,S,0,15.5,4,5,2,3,4,3,0,1,4.06,
2024,55,W,0,8,2,3,2,3,0,3,1,2,4.06,lots of rocks
2024,85,N,0,8,1,3,1,2,1,0,0,0,4.06,fallen leaves - oak - hickory seedlings - dogwood
2024,85,E,0,3.5,0,1,1,0,1,0,0,1,4.06,fallen leaves - coarse woody debris
2024,85,S,0,65.5,4,2,12,10,1,2,3,4,4.06,potential deer browse
2024,85,W,0,0.5,0,0,0,1,0,0,0,0,4.06,coarse woody debris - fallen leaves
2024,87,N,0,35.5,3,0,0,4,2,2,3,4,4.06,coarse woody debris - short grasses - fallen leaves - ash seedling leaf damage (see photo)
2024,87,E,0,15.5,1,4,0,2,2,1,2,1,4.06,lots of ferns
2024,87,S,0,45.5,3,16,8,5,1,0,4,0,4.06,fallen leaves
2024,87,W,0,15.5,2,9,6,2,0,3,2,1,4.06,short grasses - spicebush - bittersweet
2024,88,N,0,0.5,0,0,1,0,0,0,0,0,4.06,may apple - fallen leaves - spice bush - bittersweet(?)
2024,88,E,0,8,0,0,0,0,2,2,1,2,4.06,may apple - Desmodium
2024,88,S,0,45.5,5,7,5,4,1,3,4,1,4.06,fallen leaves - Desmodium
2024,88,W,0,15.5,2,3,4,3,2,2,2,2,4.06,fallen leaves
2024,89,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,89,E,0,0.5,0,0,0,0,1,0,0,0,4.06,dogwood - short grasses - oak seedlings
2024,89,S,0,0.5,0,0,0,0,0,0,1,0,4.06,oak seedlings - short grasses - paw paw (written on datasheet but makes zero sense)
2024,89,W,0,3.5,0,0,0,0,1,1,0,0,4.06,dogwood - short grasses
2024,40,N,0,0,0,0,0,0,0,0,0,0,4.06,dogbane (?) - tall grasses - flooded
2024,40,E,0,0,0,0,0,0,0,0,0,0,4.06,cattail (?) - flooded
2024,40,S,0,0,0,0,0,0,0,0,0,0,4.06,ferns - tall grasses - flooded
2024,40,W,0,0,0,0,0,0,0,0,0,0,4.06,cattail - tall grasses - dogwood (?) - flooded
2024,44,N,0,0,0,0,0,0,0,0,0,0,4.06,flooded
2024,44,E,0,0,0,0,0,0,0,0,0,0,4.06,jewelweed
2024,44,S,0,3.5,0,0,0,0,1,0,0,0,4.06,black ash seedling
2024,44,W,0,0,0,0,0,0,0,0,0,0,4.06,poison sumac - cattail - jewelweed
2024,43,N,0,0,0,0,0,0,0,0,0,0,4.06,flooded - ferns - tall grasses - jewelweed
2024,43,E,0,0,0,0,0,0,0,0,0,0,4.06,ferns - tall grasses
2024,43,S,0,0,0,0,0,0,0,0,0,0,4.06,buckthorn (?) - ferns - grasses
2024,43,W,0,1,0,0,0,0,1,0,0,0,4.06,cattails - ferns - black ash seedling
2024,45,N,0,0,0,0,0,0,0,0,0,0,4.06,potentially Sagittaria
2024,45,E,0,0,0,0,0,0,0,0,0,0,4.06,flooded - cattails
2024,45,S,0,0,0,0,0,0,0,0,0,0,4.06,
2024,45,W,0,0,0,0,0,0,0,0,0,0,4.06,cattails - an unknown woody shrub (Ilex I think)
2024,41,N,0,0,0,0,0,0,0,0,0,0,4.06,buckthorn (?) - autumn olive - tall grasses
2024,41,E,0,0,0,0,0,0,0,0,0,0,4.06,goldenrod - dead spicebush
2024,41,S,0,0,0,0,0,0,0,0,0,0,4.06,skunk cabbage - Joe Pye Weed (see photo)
2024,41,W,0,0,0,0,0,0,0,0,0,0,4.06,ferns
2024,42,N,0,0,0,0,0,0,0,0,0,0,4.06,ferns (see photo) - cattail
2024,42,E,0,0,0,0,0,0,0,0,0,0,4.06,poison sumac - ferns
2024,42,S,0,0,0,0,0,0,0,0,0,0,4.06,short grasses - ferns
2024,42,W,0,0,0,0,0,0,0,0,0,0,4.06,jewelweed - ferns - cattail
2024,90,N,0,1,0,0,1,0,0,0,0,0,4.06,
2024,90,E,0,1,1,0,0,0,0,0,1,0,4.06,fallen leaves - dogwood - beech or hophornbeam
2024,90,S,0,0,0,0,0,0,0,0,0,0,4.06,short grasses - fallen leaves
2024,90,W,0,3.5,0,0,0,0,1,0,0,1,4.06,coarse woody debris - fallen leaves
2024,82,N,0,0,0,0,0,0,0,0,0,0,4.06,short grasses - spicebush - hophornbeam (see photo)
2024,82,E,0,1,1,1,0,0,1,0,0,0,4.06,fallen leaves
2024,82,S,0,3.5,0,0,0,0,0,0,0,1,4.06,short grasses - fallen leaves - orchid (see photo)
2024,82,W,0,0,0,0,0,0,0,0,0,0,4.06,grasses - fallen leaves - spicebush
2024,83,N,0,0,0,0,0,0,0,0,0,0,4.06,short grasses - coarse woody debris - ghost pipe
2024,83,E,0,1,0,1,0,1,0,0,0,0,4.06,short grasses - fallen leaves
2024,83,S,0,3.5,0,0,0,0,2,0,0,0,4.06,spicebush - fine woody debris
2024,83,W,0,1,0,0,0,0,1,0,0,0,4.06,short grasses - fallen leaves - spicebush - snakeroot (?)
2024,84,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves - short grasses - coarse woody debris
2024,84,E,0,1,1,0,0,0,0,0,0,0,4.06,fallen leaves - coarse woody debris
2024,84,S,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses - fallen leaves - coarse woody debris
2024,84,W,0,0.5,1,0,0,0,0,0,0,0,4.06,
2024,58,N,0,65.5,10,6,3,2,6,3,3,1,4.06,
2024,58,E,0,15.5,3,1,2,7,1,2,0,2,4.06,dead Ostrya
2024,58,S,0,25.5,7,3,0,6,3,4,1,1,4.06,viburnum (see photo)
2024,58,W,0,25.5,1,1,0,0,1,2,0,0,4.06,wingstem - dogwood - Ostrya (?)
2024,60,N,0,25.5,11,8,10,6,1,1,0,0,4.06,sassafrass - hickory
2024,60,E,0,45.5,9,1,2,7,2,2,3,5,4.06,short grasses - viburnum
2024,60,S,0,75.5,4,6,5,10,4,7,7,6,4.06,
2024,60,W,0,,3,6,0,7,2,0,2,4,4.06,
2024,16,N,0,0.5,0,1,0,0,0,0,0,0,4.06,ferns (see photo) - spicebush - sandy soil
2024,16,E,0,3.5,2,0,0,0,1,1,0,1,4.06,prickly ash - spicbush - ferns (see photo)
2024,16,S,0,15.5,0,0,0,2,0,1,0,2,4.06,
2024,16,W,0,15.5,3,0,1,6,1,1,1,3,4.06,oak seedlings - ferns - spruce (see photo) - viburnum
2024,18,N,0,15.5,0,0,0,0,1,1,1,2,4.06,spicebush - skunk cabbage - grasses - fallen leaves
2024,18,E,0,0,0,0,0,0,0,0,0,0,4.06,skunk cabbage - flooded - grasses
2024,18,S,0,8,0,0,0,0,0,0,0,3,4.06,wild geranium - horsetails - skunk cabbage - spicebush
2024,18,W,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grasses - flooded
2024,30,N,0,8,3,1,3,5,0,0,0,0,4.06,fallen leaves
2024,30,E,0,15.5,1,0,1,0,1,1,6,1,4.06,fallen leaves - galls on seedlings
2024,30,S,0,8,0,2,4,0,0,0,1,1,4.06,fallen leaves - coarse woody debris - short grasses
2024,30,W,0,25.5,0,0,1,0,1,1,1,0,4.06,fallen leaves - Ostrya - tulip poplar - short grasses
2024,29,N,0,8,0,1,1,0,0,2,0,1,4.06,blue cohosh (see photo)
2024,29,E,0,8,2,1,0,1,2,0,2,0,4.06,taller grasses - bloodroot - fallen leaves
2024,29,S,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves - blue cohosh - dead ash
2024,29,W,0,1,0,0,1,1,0,0,0,0,4.06,fallen leaves - grasses
2024,28,N,0,3.5,2,2,1,0,0,2,0,0,4.06,fallen leaves
2024,28,E,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves - ferns
2024,28,S,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,28,W,0,0.5,1,0,1,1,0,0,0,0,4.06,fallen leaves
2024,72,N,0,15.5,0,0,0,1,4,0,0,3,4.06,Joe Pye Weed - tall grasses - flooded
2024,72,E,0,3.5,0,0,0,0,0,0,2,0,4.06,skunk cabbage - grasses - spicebush - flooded - sedges
2024,72,S,0,1,0,0,1,0,1,0,0,0,4.06,spicebush - flooded - skunk cabbage
2024,72,W,0,0.5,0,0,0,1,0,0,0,0,4.06,tall grasses - flooded - spicebush - ferns
2024,80,N,0,8,1,5,4,5,1,0,1,1,4.06,fallen leaves
2024,80,E,0,15.5,0,4,5,0,1,1,2,1,4.06,ferns - may apple - beech
2024,80,S,0,25.5,2,4,8,4,0,0,4,1,4.06,ferns - spicebush
2024,80,W,0,8,0,2,5,3,0,2,2,1,4.06,fallen leaves - CWD
2024,81,N,0,15.5,4,4,7,1,0,0,0,0,4.06,grasses - fallen leaves
2024,81,E,0,8,2,5,1,1,1,4,2,1,4.06,muddy - CWD - spicebush
2024,81,S,0,8,4,1,5,2,1,2,1,0,4.06,sparse grasses - CWD - some of ash seedlings have white freckles
2024,81,W,0,0.5,0,0,1,0,0,0,0,0,4.06,grasses (abundant)
2024,79,N,0,75.5,6,14,3,3,11,7,5,8,4.06,
2024,79,E,0,85.5,0,2,3,3,4,12,17,9,4.06,CWD - muddy - ash seedlings extremely dense
2024,79,S,0,0,0,0,0,0,0,0,0,0,4.06,muddy - skunk cabbage - grasses
2024,79,W,0,45.5,1,2,1,3,6,0,3,7,4.06,short grasses
2024,59,N,0,1,0,0,0,0,0,1,0,0,4.06,tulip poplar - fallen leaves - CWD
2024,59,E,0,1,0,0,0,1,0,0,0,0,4.06,fallen leaves - Prunus
2024,59,S,0,3.5,1,4,0,0,0,0,2,0,4.06,Witch hazel - fallen leaves - CWD
2024,59,W,0,3.5,0,0,3,1,0,0,0,0,4.06,fallen leaves - viburnum
2024,20,N,0,0.5,0,0,1,0,0,0,0,0,4.06,American jumpseed - Arabidopsis thing
2024,20,E,0,1,0,0,0,0,0,0,0,1,4.06,American jumpseed - Arabidopsis thing
2024,20,S,0,1,0,1,0,0,0,0,0,0,4.06,fallen leaves
2024,20,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,62,N,0,8,0,0,0,0,0,0,3,0,4.06,buckthorn - sedges - flooded
2024,62,E,0,3.5,0,0,0,0,1,0,0,0,4.06,ferns - skunk cabbage - buckthorn
2024,62,S,0,0,0,0,0,0,0,0,0,0,4.06,flooded - ferns - skunk cabbage - mosses
2024,62,W,0,0,0,0,0,0,0,0,0,0,4.06,flooded - grasses
2024,101,N,0,1,0,0,1,1,0,0,0,0,4.06,fallen leaves - witch hazel
2024,101,E,0,15.5,1,0,0,1,0,1,4,0,4.06,viburnum
2024,101,S,0,65.5,2,2,0,3,3,5,4,3,4.06,viburnum - hickory - ash leaf galls - dogwood seedlings
2024,101,W,0,25.5,1,0,0,2,2,0,2,0,4.06,dogwood - viburnum - Desmodium - Sassafrass
2024,14,N,0,15.5,3,0,1,0,2,2,0,1,4.06,may apple
2024,14,E,0,25.5,1,4,1,0,1,3,3,2,4.06,Celastrus - Desmodium
2024,14,S,0,8,1,2,2,2,0,0,1,1,4.06,short grasses - may apple
2024,14,W,0,35.5,5,5,0,1,4,2,2,1,4.06,
2024,7,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,7,E,0,8,0,2,2,2,2,0,1,0,4.06,fallen leaves - short grasses
2024,7,S,0,8,2,0,1,0,1,1,1,0,4.06,fallen leaves- short grasses
2024,7,W,0,3.5,1,0,0,1,0,0,0,0,4.06,fallen leaves - short grasses
2024,9,N,0,3.5,0,0,0,0,0,0,1,1,4.06,fallen leaves - herbicides maybe being used on invasives here
2024,9,E,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
2024,9,S,0,1,3,0,0,0,0,0,0,0,4.06,fallen leaves - short grasses - tall grasses
