center_tree_number,microplot_NESW,number_new_with_cotyledons,percent_cover_0_0.5_1_3.5_8_15.5_25.5_etc,northeast_number_established_short,southeast_number_established_short,southwest_number_established_short,northwest_number_established_short,northeast_number_established_tall,southeast_number_established_tall,southwest_number_established_tall,northwest_number_established_tall,area_of_microplot_m_squared,ash_seedlings_notes
63,N,0,3.5,0,0,0,0,2,0,0,0,4.06,
63,E,0,1,0,0,0,0,1,0,0,0,4.06,
63,S,0,0,0,0,0,0,0,0,0,0,4.06,
63,W,0,3.5,0,0,0,0,0,2,0,0,4.06,
26,N,0,,0,1,3,0,0,0,0,0,4.06,
26,E,0,25.5,0,1,0,0,0,2,2,3,4.06,
26,S,0,25.5,2,1,3,0,0,3,0,1,4.06,
26,W,0,8,3,3,0,1,0,0,0,0,4.06,Barberry around SW
27,N,0,3.5,0,0,0,2,0,1,1,1,4.06,
27,E,0,1,0,0,1,0,0,0,0,0,4.06,May apple all around
27,S,0,55.5,5,3,0,4,2,3,2,2,4.06,Barberry on SW
27,W,0,8,1,3,1,2,2,0,1,0,4.06,
33,N,0,15.5,0,0,0,0,1,1,1,2,4.06,Big tree down covering NE to SE - Barberry
33,E,0,3.5,0,0,0,0,2,1,0,1,4.06,
33,S,0,0.5,0,0,0,2,0,0,0,0,4.06,Lots of spicebush
33,W,0,1,0,0,1,1,0,0,0,0,4.06,not counting ash taller than dbh for % cover - Honeysuckle
31,N,0,1,3,0,0,0,0,0,0,0,4.06,
31,E,0,0.5,0,0,1,0,0,0,0,0,4.06,Big rock - downed branch
31,S,0,8,1,0,1,2,3,2,1,1,4.06,
31,W,0,15.5,1,0,0,0,1,1,2,2,4.06,
32,N,0,0,0,0,0,0,0,0,0,0,4.06,
32,E,0,0,0,0,0,0,0,0,0,0,4.06,Basswood and cherry seedlings
32,S,0,3.5,0,1,0,1,0,0,1,0,4.06,
32,W,0,1,1,0,0,0,0,0,0,0,4.06,We found ash seedlings but outside of the microplot
36,N,0,0,0,0,0,0,0,0,0,0,4.06,Fallen branches and horsetail
36,E,0,1,0,0,0,0,0,0,1,0,4.06,
36,S,0,3.5,0,0,0,0,0,0,0,1,4.06,
36,W,0,1,1,0,0,0,0,0,0,0,4.06,A lot of fallen branches
86,N,0,65.5,5,8,6,9,4,3,4,4,4.06,ferns - galls (see photo)
86,E,0,45.5,1,4,0,3,4,0,5,7,4.06,
86,S,0,15.5,2,1,2,3,5,3,2,2,4.06,invasive vines - autumn olive above
86,W,0,35.5,12,3,5,6,3,1,0,0,4.06,
78,N,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grass - flooded
78,E,0,25.5,1,1,1,1,3,2,2,1,4.06,not counting taller than dbh for % cover
78,S,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grasses - skunk cabbage - flooded
78,W,0,0,0,0,0,0,0,0,0,0,4.06,skunk cabbage - coarse woody debris
77,N,0,0,0,0,0,0,0,0,0,0,4.06,ferns - grasses - extreme flooding
77,E,0,0,0,0,0,0,0,0,0,0,4.06,short and tall grasses - extreme flooding
77,S,0,0,0,0,0,0,0,0,0,0,4.06,spicebush - musclewood - extreme flooding
77,W,0,0,0,0,0,0,0,0,0,0,4.06,ferns - extreme flooding
76,N,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses (see photo) - extreme flooding for entire plot
76,E,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses - skunk cabbage
76,S,0,0,0,0,0,0,0,0,0,0,4.06,water too deep to walk over to - no ash seedlings observed
76,W,0,3.5,0,0,0,0,0,0,0,1,4.06,
73,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
73,E,0,3.5,0,0,0,0,0,0,0,1,4.06,
73,S,0,8,1,2,3,3,0,1,0,1,4.06,
73,W,0,8,1,3,1,3,1,0,1,1,4.06,
74,N,0,0,0,0,0,0,0,0,0,0,4.06,
74,E,0,15.5,0,0,0,0,0,1,2,2,4.06,
74,S,0,0,0,0,0,0,0,0,0,0,4.06,
74,W,0,1,0,0,1,0,0,0,0,0,4.06,
75,N,0,0.5,0,1,0,0,0,0,0,0,4.06,
75,E,0,0,0,0,0,0,0,0,0,0,4.06,
75,S,0,0.5,0,1,0,0,0,0,0,0,4.06,
75,W,0,3.5,1,1,2,1,0,0,0,0,4.06,
109,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
109,E,0,0.5,1,1,0,0,0,0,0,0,4.06,
109,S,0,0.5,0,0,1,0,0,0,0,0,4.06,
109,W,0,0,0,0,0,0,0,0,0,0,4.06,
100,N,0,55.5,7,5,3,0,3,5,1,1,4.06,prickly ash
100,E,0,75.5,8,3,11,8,3,4,1,3,4.06,sugar maple
100,S,0,8,1,6,1,1,0,2,0,1,4.06,under log - viburnum
100,W,0,,3,4,7,2,3,3,3,2,4.06,euonymus (wingstem) - alternate leaved dogwood (see photo)
112,N,0,8,0,0,0,0,0,2,1,0,4.06,grasses - virginia creeper - hickory seedlings - ash saplings taller than DBH
112,E,0,0,0,0,0,0,0,0,0,0,4.06,grasses - legume plant (the 3-ranked one with pink flowers)
112,S,0,15.5,0,0,0,1,2,1,1,1,4.06,grasses - raspberry
112,W,0,15.5,0,0,0,0,0,3,0,0,4.06,bittersweet - gooseberry
113,N,0,0,0,0,0,0,0,0,0,0,4.06,microplot located on equestrian trail - mowed grass
113,E,0,8,0,0,0,0,0,1,0,0,4.06,raspberry - rose
113,S,0,15.5,0,1,0,0,1,1,2,1,4.06,
113,W,0,0,0,0,0,0,0,0,0,0,4.06,microplot located on equestrian trail - mowed grass
114,N,0,8,0,0,0,0,1,0,2,1,4.06,
114,E,0,45.5,0,0,1,1,2,2,2,1,4.06,
114,S,0,15.5,0,0,0,0,1,0,2,1,4.06,
114,W,0,3.5,0,0,0,0,1,0,0,0,4.06,
110,N,0,8,0,0,0,0,0,0,0,1,4.06,fallen leaves (likely for all these microplots in 110)
110,E,0,25.5,0,0,0,0,2,0,2,5,4.06,
110,S,0,3.5,1,0,1,2,0,0,1,0,4.06,
110,W,0,0,0,0,0,0,0,0,0,0,4.06,
111,N,0,15.5,8,1,3,2,3,0,1,1,4.06,prickly ash - multiflora rose
111,E,0,8,0,0,4,2,0,1,0,0,4.06,high density of ash seedlings in surrounding areas - spiral fern - fallen ash tree with living leaves
111,S,0,3.5,0,0,0,1,0,1,2,0,4.06,mud - fallen leaves
111,W,0,25.5,1,6,3,2,1,5,6,0,4.06,grasses - fallen leaves
69,N,0,8,4,3,3,2,2,0,3,1,4.06,
69,E,0,8,1,1,0,1,2,1,1,0,4.06,
69,S,0,65.5,0,3,3,0,4,14,10,2,4.06,grasses - ferns - mosses
69,W,0,3.5,0,0,1,0,2,0,2,0,4.06,
68,N,0,3.5,2,1,0,0,1,0,0,0,4.06,fallen leaves
68,E,0,65.5,0,2,2,1,2,4,8,3,4.06,
68,S,0,0,0,0,0,0,0,0,0,0,4.06,tall grasses - muddy leaves
68,W,0,15.5,0,0,0,1,1,4,2,3,4.06,ferns
67,N,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
67,E,0,0.5,1,0,0,0,0,0,0,0,4.06,fallen leaves
67,S,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
67,W,0,0,0,0,0,0,0,0,0,0,4.06,fallen leaves
70,N,0,35.5,3,4,0,2,0,12,2,0,4.06,spicebush - beech leaves - short grasses
70,E,0,3.5,0,0,0,0,0,1,0,0,4.06,tall grasses - wet leaves - spicebush
70,S,0,15.5,1,4,5,1,1,3,1,3,4.06,spicebush - blackberry
70,W,0,15.5,3,9,5,2,1,2,0,0,4.06,lots of ferns - spicebush
71,N,0,35.5,0,1,0,3,0,2,2,3,4.06,buckthorn - skunk cabbage - wet leaves
71,E,0,0,0,0,0,0,0,0,0,0,4.06,wet leaves
71,S,0,1,0,0,0,0,0,0,1,0,4.06,tall grasses
71,W,0,8,0,0,0,0,4,0,0,3,4.06,tall grasses - irises (?)
55,N,0,25.5,3,1,1,1,0,0,2,5,4.06,spring wildflowers - cherry - maples
55,E,0,1,1,0,1,0,0,0,0,0,4.06,hepatica
55,S,0,15.5,4,5,2,3,4,3,0,1,4.06,
55,W,0,8,2,3,2,3,0,3,1,2,4.06,lots of rocks
