park,center_tree_number,trap_type,initial_set_date,trap_number,quadrant_NE_SE_SW_NW,dist_to_center_tree_meters_approx,direction_to_center_tree_degrees,latitude_degree_part,latitude_minutes_part,longitude_degree_part,longitude_minutes_part,height_ft_approx_to_top_of_trap,tree_trap_is_hung_in_species,diameter_at_137_cm_in_cm_of_nearest_ash,canopy_condition_of_nearest_ash,crown_class_D_C_I_S,ash_saplings_species_EAB_trap_is_above,re_lure_date,final_collection_date,EAB_exit_holes_y_n,woodpecker_marks_y_n,ash_bark_splitting_y_n,epicormic_sprouts_y_n,basal_sprouts_y_n,number_of_EAB_exit_holes_from_125_to_175_cm,number_of_woodpecker_marks_from_125_to_175_cm,trap_locations_notes
Pontiac,53,yellow pan,06_04_2024,102,SW,,,42,40.647,-83,-29.113,5,green or white ash,5.2,1,I,NA,,,n,n,y,n,n,0,0,
Pontiac,53,yellow pan,06_04_2024,103,SW,,,42,40.647,-83,-29.109,4.6,green or white ash,6.6,1,S,NA,,,n,n,y,y,n,0,0,
Pontiac,53,yellow pan,06_04_2024,104,SW,,,42,40.65,-83,-29.106,4.6,green or white ash,7.2,1,S,NA,,,n,n,y,y,n,0,0,
Pontiac,53,yellow pan,06_04_2024,105,SW,,,42,40.655,-83,-29.113,5,green or white ash,3.1,3,I,NA,,,y,n,y,y,y,1,0,
Pontiac,53,yellow pan,06_04_2024,106,NW,,,42,40.66,-83,-29.111,5,green or white ash,5.9,1,I,NA,,,n,n,y,n,n,0,0,
Pontiac,53,yellow pan,06_04_2024,107,NW,,,42,40.662,-83,-29.107,5,green or white ash,3.6,1,I,NA,,,n,n,n,y,n,0,0,
Pontiac,53,yellow pan,06_04_2024,108,NW,,,42,40.663,-83,-29.107,5,green or white ash,4.45,1,I,NA,,,n,n,y,n,n,0,0,
Pontiac,53,yellow pan,06_04_2024,109,NW,,,42,40.663,-83,-29.112,4.6,green or white ash,7.2,1,C,NA,,,n,n,y,y,n,0,0,
Pontiac,53,yellow pan,06_04_2024,110,NW,,,42,40.664,-83,-29.103,5,green or white ash,8.9,1,I,NA,,,n,n,n,n,n,0,0,
Pontiac,53,yellow pan,06_04_2024,111,NW,,,42,40.666,-83,-29.112,4.6,green or white ash,4.6,4,I,NA,,,n,n,y,y,y,0,0,
Pontiac,53,yellow pan,06_04_2024,112,NW,,,42,40.668,-83,-29.115,5,green or white ash,6.7,3,I,NA,,,n,n,y,y,n,0,0,
Pontiac,53,yellow pan,06_04_2024,113,West,,,42,40.66,-83,-29.121,5,green or white ash,9.6,2,S,NA,,,n,n,n,n,n,0,0,
Pontiac,53,yellow pan,06_04_2024,114,NW,,,42,40.66,-83,-29.105,5,green or white ash,4.2,1,I,NA,,,n,n,y,y,n,0,0,
Pontiac,53,yellow pan,06_04_2024,115,NW,,,42,40.661,-83,-29.112,5,green or white ash,9.1,4,I,NA,,,n,y,y,y,y,0,0,
