trap_number,set_date,collection_date,Completed_sorting_y_n,Total_Hymenoptera,Symphyta,Chrysidoidea_Dryinidae,Formicidae,Vespoidea_except_Formicidae,Pompilloidea,Apoidea,Ichneumonoidea_Ichneumonidae,Ichneumonoidea_Braconidae,Spathius_galinae,Cynipoidea,Proctotrupoidea_Diapriidae,Ceraphronoidea,Total_Chalcidoidea,Chalcidoidea_Mymaridae,Chalcidoidea_Encyrtidae,Oobius_agrili,Chalcidoidea_other,Tetrastichus_planipennisi,Platygastroidea,Hymenoptera_unknown,Total_arthropods_except_Hymenoptera,Diptera,Hemiptera,Lepidoptera,Coleoptera,Other_arthropods,Notes,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
113,06_04_2024,06_14_2024,n,8,,,,,,,,,0,,,,,,,0,,0,,8,16,,,,,,many flies - beetles - etc,,,,,,,,,,,,,,,
114,06_04_2024,06_14_2024,n,11,,,,,,,,,0,,,,,,,0,,0,,11,15,,,,,,cool fly with patterned wings - Hymenoptera were pointed with HMDS procedure - fail,,,,,,,,,,,,,,,
115,06_04_2024,06_14_2024,n,11,,,,,,,,,0,,,,,,,0,,0,,11,13,,,,,,Lookalike of Spathius agrili - T Petrice identified it as a native Spathius spp.,,,,,,,,,,,,,,,
101,06_14_2024,06_21_2024,n,16,2,0,0,0,NA,0,3,1,0,NA,3,1,1,NA,NA,0,NA,0,NA,0,31,19,4,0,5,3,,,,,,,,,,,,,,,,
102,06_14_2024,06_21_2024,n,11,0,0,1,0,NA,0,4,1,0,NA,2,0,1,NA,NA,0,NA,0,NA,2,28,11,10,1,4,1,,,,,,,,,,,,,,,,
103,06_14_2024,06_21_2024,n,24,0,1,1,1,NA,0,3,0,0,NA,6,0,5,NA,NA,0,NA,0,NA,11,24,10,8,3,1,1,,,,,,,,,,,,,,,,
104,06_14_2024,06_21_2024,n,18,0,0,0,0,NA,0,0,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,17,43,14,18,1,8,2,,,,,,,,,,,,,,,,
105,06_14_2024,06_21_2024,n,32,1,0,5,0,NA,0,1,1,0,NA,2,1,15,NA,NA,0,NA,0,NA,6,29,15,7,1,4,2,Found possibly a native Oobius or other similar Encyrtidae,,,,,,,,,,,,,,,
106,06_14_2024,06_21_2024,n,10,0,0,0,0,NA,0,1,1,0,NA,2,0,1,NA,NA,0,NA,0,NA,5,10,1,5,0,3,1,,,,,,,,,,,,,,,,
107,06_14_2024,06_21_2024,n,10,1,0,2,0,NA,0,1,1,0,NA,1,0,2,NA,NA,0,NA,0,NA,0,17,6,6,0,5,1,,,,,,,,,,,,,,,,
108,06_14_2024,06_21_2024,n,10,1,0,1,0,NA,0,1,0,0,NA,1,0,1,NA,NA,0,NA,0,NA,1,11,4,3,0,3,1,Unknown Hymenoptera is possibly Aulacidae,,,,,,,,,,,,,,,
109,06_14_2024,06_21_2024,n,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,1,0,1,0,0,0,Bug and fairyfly placed into the same vial,,,,,,,,,,,,,,,
110,06_14_2024,06_21_2024,n,11,1,0,0,0,NA,0,0,0,0,NA,4,1,1,NA,NA,0,NA,0,NA,4,25,14,3,2,7,0,,,,,,,,,,,,,,,,
111,06_14_2024,06_21_2024,n,26,2,0,3,0,NA,0,2,1,0,NA,4,0,2,NA,NA,0,NA,0,NA,13,24,4,7,2,12,0,,,,,,,,,,,,,,,,
112,06_14_2024,06_21_2024,n,73,2,0,2,0,NA,0,4,5,1,NA,2,0,7,NA,NA,1,NA,0,NA,51,62,24,20,1,16,1,S galine and O agrili confirmed by T Petrice,,,,,,,,,,,,,,,
113,06_14_2024,06_21_2024,n,12,1,0,0,0,NA,1,1,1,0,NA,0,0,0,NA,NA,0,NA,0,NA,8,23,6,5,4,8,0,,,,,,,,,,,,,,,,
114,06_14_2024,06_21_2024,n,16,1,1,0,0,NA,0,0,3,0,NA,2,0,4,NA,NA,0,NA,0,NA,5,34,13,16,0,5,0,,,,,,,,,,,,,,,,
115,06_14_2024,06_21_2024,n,12,0,0,2,0,NA,0,0,0,0,NA,0,0,4,NA,NA,0,NA,0,NA,6,18,8,6,0,2,2,,,,,,,,,,,,,,,,
101,06_21_2024,06_27_2024,n,4,1,0,0,0,NA,0,0,1,0,NA,1,0,0,0,0,0,0,0,NA,1,7,2,2,0,2,1,,,,,,,,,,,,,,,,
102,06_21_2024,06_27_2024,n,24,0,4,0,0,NA,0,2,3,0,NA,3,1,3,1,1,0,1,0,NA,8,27,8,11,0,6,2,,,,,,,,,,,,,,,,
103,06_21_2024,06_27_2024,n,12,1,0,1,0,NA,0,1,1,0,NA,0,1,0,0,0,0,0,0,NA,7,30,14,9,0,7,0,,,,,,,,,,,,,,,,
104,06_21_2024,06_27_2024,n,24,0,1,2,0,NA,0,4,3,0,NA,2,0,4,2,1,0,1,0,NA,8,43,13,11,2,17,0,,,,,,,,,,,,,,,,
105,06_21_2024,06_27_2024,n,25,0,2,0,0,NA,0,2,2,0,NA,4,0,5,1,2,0,2,0,NA,10,32,16,9,3,4,0,,,,,,,,,,,,,,,,
106,06_21_2024,06_27_2024,n,6,1,3,1,0,NA,0,0,0,0,NA,0,0,1,1,0,0,0,0,NA,0,21,7,11,0,3,0,,,,,,,,,,,,,,,,
107,06_21_2024,06_27_2024,n,7,1,0,0,0,NA,0,0,0,0,NA,1,1,0,0,0,0,0,0,NA,4,9,4,3,0,2,0,,,,,,,,,,,,,,,,
108,06_21_2024,06_27_2024,n,7,0,0,0,0,NA,0,0,3,0,NA,1,0,0,0,0,0,0,0,NA,3,28,7,19,2,0,0,,,,,,,,,,,,,,,,
109,06_21_2024,06_27_2024,n,9,0,0,0,0,NA,0,4,0,0,NA,0,1,2,2,0,0,0,0,NA,2,14,6,7,0,0,1,,,,,,,,,,,,,,,,
110,06_21_2024,06_27_2024,n,7,0,0,0,0,NA,0,0,1,0,NA,0,0,1,0,0,0,1,0,NA,5,24,6,13,0,3,2,,,,,,,,,,,,,,,,
111,06_21_2024,06_27_2024,n,19,0,0,0,0,NA,0,3,3,0,NA,0,1,4,2,0,0,2,0,NA,8,47,20,20,1,4,2,,,,,,,,,,,,,,,,
112,06_21_2024,06_27_2024,n,24,0,1,0,0,NA,0,4,2,0,NA,2,1,1,0,1,0,0,0,NA,13,74,30,22,0,20,2,,,,,,,,,,,,,,,,
113,06_21_2024,06_27_2024,n,44,1,2,0,0,NA,0,6,0,0,NA,0,0,4,3,1,0,0,0,NA,31,46,16,17,0,12,1,,,,,,,,,,,,,,,,
114,06_21_2024,06_27_2024,n,14,0,0,0,0,NA,0,1,1,0,NA,2,0,3,2,0,0,1,0,NA,7,19,5,10,0,4,0,,,,,,,,,,,,,,,,
115,06_21_2024,06_27_2024,n,9,0,1,0,0,NA,0,1,1,0,NA,1,0,3,2,1,0,0,0,NA,2,21,10,8,0,0,3,,,,,,,,,,,,,,,,
101,06_27_2024,07_03_2024,y,7,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,2,0,3,2,1,0,0,0,,,,,,,,,,,,,,,,
102,06_27_2024,07_03_2024,y,22,0,7,1,0,0,0,2,2,0,0,1,1,4,1,1,0,2,0,4,0,9,4,3,1,0,1,,,,,,,,,,,,,,,,
103,06_27_2024,07_03_2024,y,31,0,0,1,0,1,2,6,0,0,0,3,1,7,1,2,0,4,0,10,0,26,19,6,1,0,0,,,,,,,,,,,,,,,,
104,06_27_2024,07_03_2024,y,24,0,2,2,0,0,0,3,1,0,1,2,0,9,5,1,0,3,0,4,0,63,31,25,2,3,2,,,,,,,,,,,,,,,,
105,06_27_2024,07_03_2024,y,30,0,3,1,0,0,0,4,0,0,0,1,3,13,7,0,0,6,0,4,1,28,16,11,0,0,1,,,,,,,,,,,,,,,,
106,06_27_2024,07_03_2024,y,11,0,1,0,0,0,0,2,1,0,0,1,0,3,2,0,0,1,0,3,0,16,3,8,2,2,1,,,,,,,,,,,,,,,,
107,06_27_2024,07_03_2024,y,16,0,1,0,0,0,0,2,0,0,0,0,1,3,1,0,0,2,0,7,2,44,16,25,0,2,1,Lookalike of Tetrastichus planipennisi - looked at by T Petrice,,,,,,,,,,,,,,,
108,06_27_2024,07_03_2024,y,14,0,1,0,0,0,0,3,0,0,1,2,2,1,1,0,0,0,0,3,1,35,14,14,1,4,2,,,,,,,,,,,,,,,,
109,06_27_2024,07_03_2024,y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,3,1,0,0,,,,,,,,,,,,,,,,
110,06_27_2024,07_03_2024,y,12,0,0,0,0,1,2,0,1,0,0,0,2,4,3,1,0,0,0,1,1,13,4,5,2,0,2,I put the bumblebee into the non Hymenoptera vial,,,,,,,,,,,,,,,
111,06_27_2024,07_03_2024,y,13,0,0,1,0,0,0,1,0,0,0,0,3,4,1,1,0,2,0,4,0,12,7,3,1,1,0,,,,,,,,,,,,,,,,
112,06_27_2024,07_03_2024,y,21,0,0,0,0,0,0,4,0,0,0,0,1,5,3,1,0,1,0,10,1,17,4,11,0,2,0,,,,,,,,,,,,,,,,
113,06_27_2024,07_03_2024,y,22,0,1,1,0,0,0,2,0,0,0,0,2,4,3,0,0,1,0,11,1,15,12,1,1,0,1,,,,,,,,,,,,,,,,
114,06_27_2024,07_03_2024,y,19,0,1,0,0,0,0,0,1,0,1,3,2,2,1,0,0,1,0,9,0,18,7,6,2,1,2,,,,,,,,,,,,,,,,
115,06_27_2024,07_03_2024,y,18,0,3,1,0,2,1,1,2,0,0,0,2,1,1,0,0,0,0,4,1,26,8,18,0,0,0,,,,,,,,,,,,,,,,
101,07_03_2024,07_12_2024,y,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,1,1,,,,,,,,,,,,,,,,
102,07_03_2024,07_12_2024,y,6,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,69,50,17,1,0,1,large numbers of phorid flies,,,,,,,,,,,,,,,
103,07_03_2024,07_12_2024,y,6,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,23,9,11,2,0,1,,,,,,,,,,,,,,,,
104,07_03_2024,07_12_2024,y,25,0,3,4,0,0,0,2,1,0,0,0,3,4,1,3,0,0,0,8,0,21,4,11,2,2,2,,,,,,,,,,,,,,,,
105,07_03_2024,07_12_2024,y,19,0,2,2,0,1,3,1,1,0,1,1,2,2,1,0,0,1,0,2,1,25,5,19,1,0,0,,,,,,,,,,,,,,,,
106,07_03_2024,07_12_2024,y,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18,4,12,1,1,0,,,,,,,,,,,,,,,,
107,07_03_2024,07_12_2024,y,11,2,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,2,0,36,15,14,0,4,3,possibly a brown headed ash sawfly,,,,,,,,,,,,,,,
108,07_03_2024,07_12_2024,y,9,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,30,14,14,0,2,0,,,,,,,,,,,,,,,,
109,07_03_2024,07_12_2024,y,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,7,2,0,1,1,,,,,,,,,,,,,,,,
110,07_03_2024,07_12_2024,y,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,7,18,1,7,2,,,,,,,,,,,,,,,,
111,07_03_2024,07_12_2024,y,17,0,2,1,0,0,1,5,0,0,0,1,0,4,0,1,0,3,0,3,0,72,44,21,2,4,1,,,,,,,,,,,,,,,,
112,07_03_2024,07_12_2024,y,15,1,2,0,0,1,1,4,1,1,0,1,0,1,0,1,0,0,0,3,0,38,24,8,0,2,4,S galinae confirmed by T Petrice,,,,,,,,,,,,,,,
113,07_03_2024,07_12_2024,y,13,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,9,1,42,15,20,0,2,5,,,,,,,,,,,,,,,,
114,07_03_2024,07_12_2024,y,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,11,4,5,1,1,0,,,,,,,,,,,,,,,,
115,07_03_2024,07_12_2024,y,13,0,2,1,0,0,2,1,2,1,0,0,0,2,1,1,0,0,0,3,0,68,14,43,1,1,9,S galinae confirmed by T Petrice,,,,,,,,,,,,,,,
101,07_12_2024,07_18_2024,y,17,0,2,0,0,1,1,6,0,0,0,1,2,2,0,2,0,0,0,2,0,36,9,20,1,6,0,An interesting Platygastrid,,,,,,,,,,,,,,,
102,07_12_2024,07_18_2024,y,11,1,0,3,0,0,0,2,0,0,0,1,0,2,0,1,0,1,0,2,0,15,6,8,0,1,0,,,,,,,,,,,,,,,,
103,07_12_2024,07_18_2024,y,8,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,4,1,1,3,,,,,,,,,,,,,,,,
104,07_12_2024,07_18_2024,y,19,1,2,0,0,0,0,5,0,0,0,0,2,2,1,1,0,0,0,7,0,44,11,18,2,9,4,Lot of mordellids,,,,,,,,,,,,,,,
105,07_12_2024,07_18_2024,y,6,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,10,4,4,0,0,2,Some of trap contents may have been dumped accidentally during initial yellow pan trap collection,,,,,,,,,,,,,,,
106,07_12_2024,07_18_2024,y,8,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,17,4,11,1,1,0,,,,,,,,,,,,,,,,
107,07_12_2024,07_18_2024,y,12,0,1,0,0,2,1,1,1,0,0,0,2,2,2,0,0,0,0,2,0,28,15,5,0,7,1,,,,,,,,,,,,,,,,
108,07_12_2024,07_18_2024,y,7,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,1,0,17,4,10,2,1,0,,,,,,,,,,,,,,,,
109,07_12_2024,07_18_2024,y,4,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Lots of plant material,,,,,,,,,,,,,,,
110,07_12_2024,07_18_2024,y,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,24,9,11,2,0,2,,,,,,,,,,,,,,,,
111,07_12_2024,07_18_2024,y,13,1,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,21,11,10,0,0,0,,,,,,,,,,,,,,,,
112,07_12_2024,07_18_2024,y,33,0,1,6,0,0,0,7,1,0,0,1,1,5,0,1,0,4,0,10,1,56,16,35,1,4,0,Other chalcidoids are likely Trichogrammatidae,,,,,,,,,,,,,,,
113,07_12_2024,07_18_2024,y,20,0,2,1,0,0,0,5,0,0,1,1,3,1,0,0,0,1,0,5,1,17,6,9,0,1,1,,,,,,,,,,,,,,,,
114,07_12_2024,07_18_2024,y,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,14,5,5,2,1,1,,,,,,,,,,,,,,,,
115,07_12_2024,07_18_2024,y,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,3,1,0,1,,,,,,,,,,,,,,,,
101,07_18_2024,07_25_2024,y,9,0,0,0,0,0,0,4,0,0,0,0,2,1,0,1,0,0,0,2,0,16,6,7,0,2,1,,,,,,,,,,,,,,,,
102,07_18_2024,07_25_2024,y,14,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,5,2,42,5,34,0,0,3,,,,,,,,,,,,,,,,
103,07_18_2024,07_25_2024,y,10,0,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,1,0,1,1,12,7,4,0,0,1,,,,,,,,,,,,,,,,
104,07_18_2024,07_25_2024,y,21,1,0,1,0,0,0,3,1,0,0,4,3,2,1,1,0,0,0,6,0,26,8,16,1,1,0,,,,,,,,,,,,,,,,
105,07_18_2024,07_25_2024,y,20,0,4,0,0,2,4,2,0,0,0,2,0,2,1,1,0,0,0,3,1,67,10,48,2,4,3,,,,,,,,,,,,,,,,
106,07_18_2024,07_25_2024,y,10,1,1,0,0,0,0,2,0,0,0,0,1,2,0,1,0,1,0,1,2,46,17,22,2,4,1,lots of tachinids - possibly an ash sawfly,,,,,,,,,,,,,,,
107,07_18_2024,07_25_2024,y,12,1,0,0,0,0,0,4,0,0,1,1,0,2,1,1,0,0,0,2,1,23,4,16,0,1,2,,,,,,,,,,,,,,,,
108,07_18_2024,07_25_2024,y,13,0,1,0,0,0,0,3,1,0,0,1,0,4,1,1,0,2,0,3,0,32,6,21,1,3,1,A braconid with a long ovipositor - T Petrice says not Spathius,,,,,,,,,,,,,,,
109,07_18_2024,07_25_2024,y,12,0,1,2,0,1,0,2,1,0,0,2,0,1,0,0,0,1,1,2,0,14,3,9,1,0,1,T planipennisi confirmed by T Petrice - lots of frass or plant material,,,,,,,,,,,,,,,
110,07_18_2024,07_25_2024,y,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37,22,10,0,0,5,Millipedes - large flies - isopod,,,,,,,,,,,,,,,
111,07_18_2024,07_25_2024,y,12,0,1,1,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,4,0,29,15,9,1,3,1,,,,,,,,,,,,,,,,
112,07_18_2024,07_25_2024,y,18,1,1,1,0,2,0,2,0,0,1,1,0,2,1,1,1,0,0,7,0,67,29,30,1,4,3,O agrili confirmed by T Petrice,,,,,,,,,,,,,,,
113,07_18_2024,07_25_2024,y,16,0,0,1,0,0,1,0,2,0,0,1,1,3,0,0,0,3,0,7,0,40,25,9,1,0,5,,,,,,,,,,,,,,,,
114,07_18_2024,07_25_2024,y,7,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,26,10,16,0,0,0,,,,,,,,,,,,,,,,
115,07_18_2024,07_25_2024,y,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,38,15,20,0,0,3,A native Spathius spp. - pointed,,,,,,,,,,,,,,,
101,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,08_01_2024,08_08_2024,,0,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,
102,08_01_2024,08_08_2024,,1,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,
103,08_01_2024,08_08_2024,,5,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,
104,08_01_2024,08_08_2024,,8,,,,,,,,,,,,,,,,,,,,8,11,,,,,,,,,,,,,,,,,,,,,
105,08_01_2024,08_08_2024,,4,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,
106,08_01_2024,08_08_2024,,3,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,
107,08_01_2024,08_08_2024,,3,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,
108,08_01_2024,08_08_2024,,0,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,
109,08_01_2024,08_08_2024,,2,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,
110,08_01_2024,08_08_2024,,2,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,
111,08_01_2024,08_08_2024,,7,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,
112,08_01_2024,08_08_2024,,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
113,08_01_2024,08_08_2024,,1,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,
114,08_01_2024,08_08_2024,,0,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,
115,08_01_2024,08_08_2024,,4,,,,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,,,,,,,,,
