"","center_tree_number","Park","Transect","mstrlvl","plotmstr","mean_percent_cover","mean_density_short","mean_density_tall","mean_density_seedlings","total_number_short","total_number_tall","total_number_seedlings"
"73",81,"Indian Springs","V","mesic",2,8,2.33990147783251,0.738916256157636,3.07881773399015,38,12,50
"74",82,"Highland","W","xeric",2,1.125,0.123152709359606,0.123152709359606,0.246305418719212,2,2,4
"75",83,"Highland","W","xeric",2,1.375,0.123152709359606,0.184729064039409,0.307881773399015,2,3,5
"76",84,"Highland","W","xeric",2,0.375,0.123152709359606,0,0.123152709359606,2,0,2
"77",85,"Highland","X","mesic",1,19.375,2.33990147783251,0.800492610837439,3.14039408866995,38,13,51
"78",86,"Highland","X","mesic",3,40.5,4.31034482758621,2.89408866995074,7.20443349753695,70,47,117
"79",87,"Highland","X","mesic",3,28,4.00246305418719,1.72413793103448,5.72660098522168,65,28,93
"80",88,"Highland","Y","xeric",1,17.375,2.0935960591133,1.47783251231527,3.57142857142857,34,24,58
"81",89,"Highland","Y","xeric",1,1.125,0,0.246305418719212,0.246305418719212,0,4,4
"82",90,"Highland","Y","xeric",1,1.375,0.123152709359606,0.184729064039409,0.307881773399015,2,3,5
"83",91,"Hudson Mills","Z","xeric",2,8.75,0.307881773399015,0.492610837438424,0.800492610837439,5,8,13
"84",94,"Pontiac Lake","ZA","xeric",2,18.75,1.18694362017804,2.59643916913947,3.78338278931751,16,35,51
"85",95,"Pontiac Lake","ZA","xeric",2,23,3.04154302670623,2.22551928783383,5.26706231454006,41,30,71
"86",96,"Pontiac Lake","ZA","xeric",2,13.625,2.59643916913947,2.1513353115727,4.74777448071217,35,29,64
"87",97,"Pontiac Lake","ZB","mesic",3,18.125,2.29970326409496,3.11572700296736,5.41543026706231,31,42,73
"88",98,"Pontiac Lake","ZB","mesic",2,2.5,1.55786350148368,0.445103857566766,2.00296735905044,21,6,27
"89",99,"Pontiac Lake","ZB","mesic",2,6.625,0.222551928783383,0.222551928783383,0.445103857566766,3,3,6
"90",100,"Pontiac Lake","ZC","xeric",2,46.3333333333333,4.31034482758621,2.1551724137931,6.46551724137931,70,35,105
"91",101,"Pontiac Lake","ZC","xeric",1,26.875,0.862068965517241,1.47783251231527,2.33990147783251,14,24,38
"92",102,"Pontiac Lake","ZC","xeric",2,41.125,2.89408866995074,2.89408866995074,5.78817733990148,47,47,94
"93",109,"Indian Springs","ZF","mesic",2,0.25,0.184729064039409,0,0.184729064039409,3,0,3
"94",110,"Indian Springs","ZF","mesic",3,9.25,0.246305418719212,0.677339901477833,0.923645320197044,4,11,15
"95",111,"Indian Springs","ZF","mesic",2,13.125,2.0320197044335,1.29310344827586,3.32512315270936,33,21,54
"96",112,"Kensington","ZG","xeric",1,9.75,0.061576354679803,0.677339901477833,0.738916256157636,1,11,12
"97",113,"Kensington","ZG","xeric",1,5.875,0.061576354679803,0.369458128078818,0.431034482758621,1,6,7
"98",114,"Kensington","ZG","xeric",1,18.125,0.123152709359606,0.985221674876847,1.10837438423645,2,16,18
